"analyse_Al2O3C_CrossTalk","analyse_Al2O3C_ITC","analyse_Al2O3C_Measurement","analyse_baSAR","analyse_FadingMeasurement","analyse_IRSAR.RF","analyse_pIRIRSequence","analyse_portableOSL","analyse_SAR.CWOSL","Analyse_SAR.OSLdata","analyse_SAR.TL","app_RLum","apply_CosmicRayRemoval","apply_EfficiencyCorrection","bin_RLum.Data","bin.RLum.Data.Curve","calc_AliquotSize","calc_AverageDose","calc_CentralDose","calc_CommonDose","calc_CosmicDoseRate","calc_FadingCorr","calc_FastRatio","calc_FiniteMixture","calc_FuchsLang2001","calc_gSGC","calc_HomogeneityTest","calc_IEU","calc_Kars2008","calc_MaxDose","calc_MinDose","calc_OSLLxTxRatio","calc_SourceDoseRate","calc_Statistics","calc_ThermalLifetime","calc_TLLxTxRatio","calc_WodaFuchs2008","convert_Activity2Concentration","convert_BIN2CSV","convert_Daybreak2CSV","convert_PSL2CSV","convert_RLum2Risoe.BINfileData","convert_XSYG2CSV","CW2pHMi","CW2pLM","CW2pLMi","CW2pPMi","extract_IrradiationTimes","fit_CWCurve","fit_LMCurve","fit_SurfaceExposure","get_Layout","get_Quote","get_rightAnswer","get_Risoe.BINfileData","get_RLum","github_branches","github_commits","github_issues","install_DevelopmentVersion","is.RLum","is.RLum.Analysis","is.RLum.Data","is.RLum.Data.Curve","is.RLum.Data.Image","is.RLum.Data.Spectrum","is.RLum.Results","length_RLum","merge_Risoe.BINfileData","merge_RLum","merge_RLum.Analysis","merge_RLum.Data.Curve","merge_RLum.Results","model_LuminescenceSignals","names_RLum","plot_AbanicoPlot","plot_DetPlot","plot_DRTResults","plot_FilterCombinations","plot_GrowthCurve","plot_Histogram","plot_KDE","plot_NRt","plot_RadialPlot","plot_Risoe.BINfileData","plot_RLum","plot_RLum.Analysis","plot_RLum.Data.Curve","plot_RLum.Data.Image","plot_RLum.Data.Spectrum","plot_RLum.Results","plot_ViolinPlot","PSL2Risoe.BINfileData","read_BIN2R","read_Daybreak2R","read_PSL2R","read_SPE2R","read_XSYG2R","replicate_RLum","report_RLum","Risoe.BINfileData2RLum.Analysis","Second2Gray","set_Risoe.BINfileData","set_RLum","show","smooth_RLum","sTeve","structure_RLum","template_DRAC","tune_Data","use_DRAC","verify_SingleGrainData","write_R2BIN","write_RLum2CSV"
"object","object","object","object","object","object","object","object","object","input.data","object","app","object","object","object","x","grain.size","data","data","data","depth","age.faded","object","data","data","data","data","data","data","data","data","Lx.data","measurement.date","data","E","Lx.data.signal","data","data","file","file","file","object","file","values","values","values","values","object","values","values","data","layout","ID","...","object","object","user","user","user","force_install","x","x","x","x","x","x","x","object","input.objects","objects","objects","object","objects","model","object","data","object","values","filters","sample","data","data","data","data","BINfileData","object","object","object","object","object","object","data","object","file","file","file","file","file","object","object","object","data","METADATA","class","object","object","n_frames","object","nrow","data","file","object","object","object"
"signal_integral","signal_integral","signal_integral","XLS_file","structure","sequence_structure","signal.integral.min","signal.integral","signal.integral.min","signal.integral","object.background","...","method","spectral.efficiency","...","...","sample.diameter","sigma_m","sigmab","sigmab","density","g_value","stimulation.power","sigmab","cvThreshold","gSGC.type","log","a","LnTn","sigmab","sigmab","Tx.data","calib.date","weight.calc","s","Lx.data.background","breaks","input_unit","...","...","...",NA,"...","delta",NA,"P","P","file.BINX","n.components.max","values.bg","sigmaphi",NA,"author",NA,"...","...","repo","repo","repo",NA,"...","...","...","...","...","...","...",NA,"output.file","...",NA,"merge.method",NA,"sequence",NA,"na.rm","signal.integral.min","given.dose","wavelength_range","na.rm","na.rm","na.rm","log","na.rm","position","...","subset","par.local","par.local","par.local","single","boxplot","...","show.raw.values","raw","drop_bg","output.object","recalculate.TL.curves","times","file","pos","dose.rate","DATA","originator",NA,"...","t_animation","...","notification","decrease.error","name","threshold","file","path"
"dose_points","dose_points","dose_points","aliquot_range","signal.integral","RF_nat.lim","signal.integral.max","invert","signal.integral.max","background.integral","signal.integral.min",NA,"method.Pych.smoothing",NA,NA,NA,"packing.density","Nb_BE","log","log","latitude","tc","wavelength","n.components","startDeValue","gSGC.parameters","...","b","rhop","log","log","signal.integral","calib.dose.rate","digits","T","Tx.data.signal","plot","verbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"recordType","fit.failure_threshold","n.components","mu",NA,"separated",NA,NA,NA,NA,"branch","verbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"keep.position.number",NA,NA,"method.info",NA,"lab.dose_rate",NA,"log.z","signal.integral.max","error.range","show_net_transmission","mode","mtext","values.cumulative","smooth","log.z","run",NA,"nrows","norm","plot.type","plot.type","...","rug",NA,"position","verbose","as_decay_curve","frame.range","fastForward",NA,"title","grain","error.propagation",".RESERVED",".uid",NA,NA,"n.tree",NA,NA,"increase.data","...","cleanup","version","prefix"
"recordType","recordType","recordType","source_doserate","background.integral","RF_reg.lim","background.integral.min","normalise","background.integral.min","position","signal.integral.max",NA,"method.Pych.threshold_factor",NA,NA,NA,"MC","na.rm","plot","...","longitude","tc.g_value","sigmaF","grain.probability","plot","n.MC",NA,"interval","ddot","par","par","signal.integral.Tx","calib.error","n.MCM","output_unit","Tx.data.background","...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"compatibility.mode","fit.method","start_values","age",NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"position.number.append.gap",NA,NA,NA,NA,"simulate_sample_history",NA,"z.0","background.integral.min","preheat","interactive","fit.method","cex.global","order","k","central.value","set",NA,"ncols","smooth","...","optical.wavelength.colours",NA,"summary",NA,"n.records","txtProgressBar","smooth","txtProgressBar","import",NA,"compact","run",NA,NA,".pid",NA,NA,"type",NA,NA,NA,NA,"cleanup_level","compatibility.mode","export"
"irradiation_time_correction","method_control","irradiation_time_correction","signal.integral","t_star","method","background.integral.max","plot","background.integral.max","run","integral_input",NA,"MARGIN",NA,NA,NA,"grains.counted","plot","...",NA,"altitude","n.MC","sigmaM","dose.scale","...","verbose",NA,"decimal.point","readerDdot","bootstrap","bootstrap","background.integral","source.type","na.rm","profiling","signal.integral.min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"txtProgressBar","fit.trace","input.dataType","Ddot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plot",NA,"dispersion","background.integral.max","boxplot","plot","fit.force_through_origin","se","boxplot","legend","centrality","sorter",NA,"abline","...",NA,"bg.channels",NA,"summary.pos",NA,"zero_data.rm",NA,"merge","verbose","pattern",NA,"timestamp","set",NA,NA,"...",NA,NA,NA,NA,NA,NA,NA,"verbose","txtProgressBar","..."
"method_control","verbose","cross_talk_correction","signal.integral.Tx","n.MC","method.control","dose.points","...","rejection.criteria","set","sequence.structure",NA,"verbose",NA,NA,NA,"plot","verbose",NA,NA,"corr.fieldChanges","seed","Ch_L1","pdf.weight",NA,"plot",NA,"plot","normalise","init.values","init.values","background.integral.Tx","dose.rate.unit",NA,"profiling_config","signal.integral.max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fit.calcError","fit.method","D0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"verbose",NA,"plot.ratio","method","mtext","...","fit.weights","rug","rug","legend.pos","mtext","ltype",NA,"combine",NA,NA,"bin.rows",NA,"na.rm",NA,"duplicated.rm",NA,"...",NA,"verbose",NA,"launch.browser","ltype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plot",NA,NA
"plot","plot","travel_dosimeter","background.integral","verbose","test_parameters","sequence.structure",NA,"dose.points","dtype","rejection.criteria",NA,"plot",NA,NA,NA,"...","...",NA,NA,"est.age","interval","Ch_L2","pdf.sigma",NA,"...",NA,"...","summary","plot","level","background.count.distribution","predict",NA,"verbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LED.power","sample_code","weights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"show_structure",NA,"rotate","signal_integral.seq","summary",NA,"fit.includingRepeatedRegPoints","normal_curve","summary","...","summary","curve.transformation",NA,"curve.transformation",NA,NA,"bin.cols",NA,"...",NA,"fastForward",NA,NA,NA,"txtProgressBar",NA,"css.file","dtype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...","...","test_parameters","background.integral.Tx","plot","n.MC","plot",NA,"mtext.outer","keep.SEL","dose.points",NA,"...",NA,NA,NA,NA,NA,NA,NA,"half.depth","txtProgressBar","Ch_L3","pdf.colors",NA,NA,NA,NA,"plot","...","plot","use_previousBG",NA,NA,"plot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LED.wavelength","sample_ID","plot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"own_parameters",NA,"mtext","analyse_function","summary.pos",NA,"fit.NumberRegPoints","summary","summary.pos",NA,"summary.pos","dose_rate",NA,"plot.single",NA,NA,"rug",NA,NA,NA,"show.record.number",NA,NA,NA,NA,NA,"quiet","protocol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"verbose","sigmab","plot.single","txtProgressBar","plot.single",NA,"plot","info.measurement","log",NA,NA,NA,NA,NA,NA,NA,NA,NA,"error","verbose","x","pdf.scale",NA,NA,NA,NA,"...",NA,"multicore","sigmab",NA,NA,"...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cex.global","LED.power","legend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"own_state_parameters",NA,"summary","analyse_function.control","legend",NA,"fit.NumberRegPointsReal","summary.pos","summary.method",NA,"legend","temp.lab",NA,"...",NA,NA,"limit_counts",NA,NA,NA,"txtProgressBar",NA,NA,NA,NA,NA,"clean","keep.empty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"plot","sig0","...","plot","...",NA,"plot.single","output.plot","...",NA,NA,NA,NA,NA,NA,NA,NA,NA,"...",NA,"x2","plot.proportions",NA,NA,NA,NA,NA,NA,"...","sig0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sample_code","LED.wavelength","error_bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"own_start_temperature",NA,"summary.pos","n.channels","legend.pos",NA,"fit.bounds","colour","bw",NA,"legend.pos","cex.global",NA,NA,NA,NA,"xaxis.energy",NA,NA,NA,"forced.VersionNumber",NA,NA,NA,NA,NA,"...","txtProgressBar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
